strategy,symbol,timeframe,dir,reason,entryTime,exitTime,holdBars,rMultiple,mfeR,maeR,pnl,fees,session,regime
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-10T03:00:00.000Z,2025-12-10T04:02:59.999Z,20,-0.038839,0.4389,0.4136,-3.8839,17.1979,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T04:06:00.000Z,2025-12-10T04:20:59.999Z,4,-1.095953,0.4397,0.8197,-109.5953,22.0058,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T04:24:00.000Z,2025-12-10T04:41:59.999Z,5,-1.078902,0.2002,1.1010,-107.8902,18.0220,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T07:48:00.000Z,2025-12-10T08:02:59.999Z,4,-1.099134,0.1347,0.9275,-109.9134,22.7422,LONDON,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T09:48:00.000Z,2025-12-10T09:50:59.999Z,0,-1.095729,0.0000,1.3305,-109.5729,22.1366,LONDON,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TARGET,2025-12-10T14:33:00.000Z,2025-12-10T14:53:59.999Z,6,1.176199,1.4229,0.0649,117.6199,6.7815,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-10T15:03:00.000Z,2025-12-10T16:05:59.999Z,20,-0.503911,0.7427,0.5841,-50.3911,9.6489,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T16:06:00.000Z,2025-12-10T16:26:59.999Z,6,-1.045705,0.0604,1.0310,-104.5705,10.3322,NY,-1
scalp_fade_3m_lim,ETHUSDT,3m,-1,STOP,2025-12-10T17:39:00.000Z,2025-12-10T18:32:59.999Z,17,-1.047930,0.2906,1.1823,-104.7930,10.6061,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-10T19:09:00.000Z,2025-12-10T20:11:59.999Z,20,-0.540007,0.3758,0.5688,-54.0007,4.0775,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,-1,TIME,2025-12-10T20:24:00.000Z,2025-12-10T21:26:59.999Z,20,0.547801,1.2734,0.2175,54.7801,4.3469,NY,1
scalp_fade_3m_lim,ETHUSDT,3m,1,STOP,2025-12-11T01:33:00.000Z,2025-12-11T02:05:59.999Z,10,-1.035515,0.0972,1.1662,-103.5515,8.2827,ASIA,-1
scalp_fade_3m_lim,ETHUSDT,3m,1,TARGET,2025-12-11T06:21:00.000Z,2025-12-11T06:38:59.999Z,5,0.970058,1.1995,0.5723,97.0058,11.1518,ASIA,1
scalp_fade_3m_lim,ETHUSDT,3m,1,TIME,2025-12-11T06:42:00.000Z,2025-12-11T07:44:59.999Z,20,-0.388446,0.2585,0.4517,-38.8446,14.6154,ASIA,-1
